0.07,175,9,0,7,0,192
0.05,285,8,0,4,0,55
0.13,2796,23,891,6,0,34
0.35,1068,14,103,3,0,43
1,439,47,0,11,0,207
0.95,1735,44,0,34,0,221
0.28,5187,72,513,13,0,326
0.04,346,7,40,3,0,96
0.19,3509,84,0,18,0,213
0.18,2030,28,446,8,0,145
1,1014,99,0,12,0,334
0.87,4162,49,236,16,0,158
0.01,608,28,0,26,2,115
0.02,442,12,0,9,0,31
1,311,38,0,12,0,330
0.62,494,24,0,10,0,240
0.9,2130,24,0,29,0,100
0.03,429,11,0,11,3,161
0.89,1707,47,0,33,0,201
0.38,4768,55,1008,11,0,131
0.06,231,8,0,5,0,201
1,6,6,0,12,0,258
0.93,6526,159,0,26,0,228
0.11,1326,44,0,26,0,185
0.01,378,24,0,3,0,141
0.86,2087,36,466,7,1,199
1,35,9,0,12,0,258
0.06,728,11,0,6,0,27
0.37,1099,11,63,8,0,106
0.84,2426,118,0,29,0,213
0.04,304,3,0,9,0,17
0.14,1219,20,20,5,0,58
1,37,24,0,12,0,366
0.04,175,4,8,2,0,67
0.01,239,11,0,3,0,64
1,372,28,0,12,0,277
0.01,266,7,48,4,0,244
0.68,1144,30,0,33,1,233
1,56,15,0,12,0,265
0.08,1080,37,0,11,0,234
0.04,368,10,0,10,0,219
0.8,1147,27,143,8,0,235
0.01,217,5,57,2,0,193
0.86,1301,19,0,31,1,145
0.01,98,4,10,2,0,7
0.01,194,4,23,2,0,227
1,136,27,0,12,0,307
0.01,198,7,24,2,0,94
0.8,1598,31,0,32,0,163
0.06,956,14,157,4,0,53
0.04,943,15,196,5,0,89
0.06,1523,10,206,4,0,72
1,316,53,0,12,0,398
0.98,1038,23,0,34,1,195
0.06,605,12,0,5,0,94
0.71,1930,9,0,32,1,58
0.19,558,14,42,3,0,85
0.09,326,6,0,12,0,208
0.07,655,18,0,16,0,115
0.04,412,14,0,9,0,35
0.03,324,11,0,9,1,126
0.91,2653,85,0,34,0,239
0.11,535,8,64,3,0,85
0.09,659,16,0,18,0,92
0.03,346,3,23,2,0,56
0.01,51,2,0,5,0,142
0.53,906,13,69,4,0,156
0.19,2170,26,133,10,0,139
0.14,280,3,25,3,0,100
1,430,55,0,12,0,279
0.14,1897,18,295,7,0,121
0.03,759,32,0,4,0,114
0.04,2021,16,572,16,3,173
0.03,385,9,0,9,0,158
0.01,231,3,0,6,0,35
0.21,657,5,58,3,0,56
1,486,44,0,12,0,364
0.48,842,35,0,33,0,96
0.05,477,7,0,6,0,58
0.95,3688,41,301,14,0,282
0.9,6528,62,875,16,0,98
1,174,28,0,12,0,292
1,243,29,0,12,0,247
0.87,1538,83,0,34,0,173
0.04,543,16,0,4,0,97
0.14,1562,44,0,31,0,145
0.08,351,3,0,4,0,3
0.03,278,3,23,3,0,50
0.95,4369,51,464,14,1,327
1,153,51,0,12,0,311
0.85,2157,12,279,9,0,216
0.01,275,5,80,2,0,64
0.79,1745,52,0,32,0,141
0.17,1242,15,122,5,2,89
0.04,629,5,144,3,0,8
0.71,2101,40,0,34,0,137
0.09,1003,15,181,4,0,95
0.04,689,10,132,3,0,30
1,54,11,0,12,0,105
0.63,1958,63,0,33,0,236
0.04,189,7,0,8,0,107
0.91,8066,32,917,15,0,199
0.04,254,12,0,4,1,73
0.04,470,4,132,2,0,235
0.04,464,5,80,3,2,70
0.06,742,18,0,16,0,142
0.04,291,8,0,8,0,214
0.92,290,3,0,9,0,23
0.79,1419,24,150,9,0,180
0.01,759,9,169,2,0,12
1,212,53,0,11,0,278
0.12,659,24,0,14,0,178
0.77,1674,30,0,33,0,251
0.02,255,5,0,10,0,10
0.15,2546,19,232,7,0,39
0.08,458,8,14,4,0,161
0.02,410,19,28,4,0,190
0.01,306,15,0,7,0,197
0.04,646,21,0,12,0,152
0.78,3993,35,1099,10,0,130
0.67,2825,60,32,15,0,175
1,131,21,0,12,0,329
0.05,676,10,0,16,1,111
1,250,41,0,12,0,327
0.01,90,2,11,2,0,30
0.05,564,26,0,29,0,195
0.02,190,7,0,7,0,153
0.1,419,5,29,4,0,17
0.96,6721,77,1016,16,0,228
